id;1 wspol.;2 wspol.;3 wspol.;4 wspol.;5 wspol.;6 wspol.;7 wspol.;8 wspol.;9 wspol.;10 wspol.;11 wspol.;l. obliczen;typ punktu;CId;
0;0.195153;0.0184604;0;0.0501067;0.00200427;0.290092;0.896647;0.0263139;0.0925656;0.0147683;0.247896;2284;1;0;
1;0.107241;0.012099;0;0.0357471;0.00134739;0.343722;0.921175;0.0137049;0.0439964;0.00934924;0.134739;2284;1;1;
2;0.135457;0.0131983;0.000694649;0.0399423;0.00159769;0.260494;0.937777;0.0173141;0.0566139;0.0112881;0.170189;2284;0;48;
3;0.174367;0.00435917;0.00871834;0.0295801;0.00116763;0.264664;0.934108;0.0155373;0.0491963;0.00902971;0.152571;2284;-1;-1;
4;0.195153;0.0184604;0;0.0501067;0.00200427;0.290092;0.896647;0.0263139;0.0925656;0.0147683;0.247896;2284;1;0;
5;0.168468;0.0150255;0;0.0409787;0.00170744;0.295957;0.910637;0.0227158;0.0799084;0.0127489;0.214;2284;1;0;
6;0.126961;0.00964262;0.000964262;0.0257137;0.0011089;0.241066;0.948191;0.0160132;0.0530344;0.00739268;0.151068;2284;1;2;
7;0.2528;0.0225096;0;0.0415561;0.00225096;0.519451;0.727232;0.0344431;0.117396;0.0162761;0.346301;2284;0;93;
8;0.325838;0.024229;0.000835483;0.0835483;0.00304951;0.375967;0.751934;0.0416405;0.140361;0.0238113;0.396854;2284;1;3;
9;0.0988381;0.00855613;0.00118016;0.0265535;0.00143094;0.221279;0.958877;0.0146915;0.0483864;0.00796605;0.135718;2284;1;2;
10;0.0898633;0.00986892;0;0.0256752;0.00142818;0.256752;0.946774;0.0159556;0.0574483;0.00834445;0.158866;2284;-1;-1;
11;0.237046;0.0185382;0.00881327;0.0486249;0.00346453;0.273515;0.881327;0.0303116;0.0990733;0.0474093;0.276554;2284;-1;-1;
12;0.0774889;0.00255258;0.00510515;0.0164094;0.000838703;0.319072;0.938983;0.00908808;0.0300839;0.00683725;0.0957216;2284;1;4;
13;0.131902;0.00534286;0.00851519;0.0300536;0.00569349;0.28384;0.935001;0.0166447;0.0507572;0.0180322;0.153607;2284;0;18;
14;0.100303;0.00514711;0.00409129;0.0303547;0.00108221;0.303547;0.937037;0.013174;0.0464559;0.00857851;0.128018;2284;1;1;
15;0.195295;0.01063;0.00519139;0.0395535;0.00262042;0.247209;0.914674;0.0246369;0.0783653;0.022496;0.234849;2284;0;25;
16;0.123364;0.00711155;0.00159647;0.0333808;0.00121912;0.13062;0.972396;0.0144669;0.0460074;0.00769209;0.136426;2284;0;47;
17;0.147048;0.00852454;0.00298359;0.0511472;0.00181146;0.447538;0.852454;0.0212431;0.0730979;0.0134261;0.20672;2284;-1;-1;
18;0.224033;0.0138687;0.00568972;0.0497851;0.00284486;0.391168;0.817897;0.0354007;0.118773;0.019914;0.330715;2284;-1;-1;
19;0.438362;0.0236485;0.013843;0.103823;0.00461434;0.230717;0.634471;0.05746;0.189188;0.0340307;0.547952;2284;1;5;
20;0.178777;0.0178777;0;0.0478417;0.00201439;0.352518;0.881294;0.0251093;0.087374;0.0138489;0.23669;2284;1;6;
21;0.350914;0.0290179;0;0.0899781;0.0036891;0.359912;0.719824;0.0448271;0.152063;0.0265435;0.440892;2284;1;7;
22;0.0790777;0.00796678;0.000826185;0.0283263;0.00105043;0.200645;0.967816;0.0117531;0.0395388;0.00637342;0.119207;2284;1;8;
23;0.0723076;0.0057062;0.00104541;0.020037;0.000723076;0.130676;0.984429;0.00868214;0.0276163;0.00574976;0.0853752;2284;1;9;
24;0.0983267;0.00605088;0.00472725;0.0340362;0.00194763;0.245817;0.945449;0.0188277;0.0639124;0.0103999;0.173963;2284;-1;-1;
25;0.333952;0.0276153;0;0.235479;0.00368203;0.214072;0.770658;0.0427544;0.145569;0.0235479;0.411018;2284;1;10;
26;0.375853;0.0289118;0.00674608;0.115647;0.00414402;0.144559;0.722794;0.0480658;0.164797;0.0289118;0.520412;2284;1;11;
27;0.229535;0.0107683;0.00793454;0.059509;0.00187028;0.368389;0.850129;0.028247;0.0915306;0.0206865;0.274875;2284;1;12;
28;0.0820046;0.00505508;0.00404406;0.0662777;0.000831279;0.134802;0.977315;0.0112088;0.0374076;0.00932381;0.117952;2284;-1;-1;
29;0.172944;0.0119882;0.00589583;0.0550277;0.00172944;0.334097;0.904027;0.0196056;0.064068;0.0100229;0.182771;2284;1;13;
30;0.355232;0.0232085;0.00947284;0.123147;0.0157249;0.378914;0.663099;0.0472127;0.152039;0.0426278;0.497324;2284;1;14;
31;0.286315;0.0233294;0.00777646;0.0777646;0.00243898;0.318128;0.812994;0.0352344;0.116647;0.0424171;0.36408;2284;0;14;
32;0.06855;0.00774913;0.00223533;0.0312946;0.000804718;0.119217;0.968641;0.0148038;0.0581185;0.00834522;0.195219;2284;-1;-1;
