id;1 wspol.;2 wspol.;3 wspol.;4 wspol.;l. obliczen;typ punktu;CId;
0;0.803773;0.551609;0.220644;0.0315205;298;1;0;
1;0.828133;0.50702;0.236609;0.0338013;298;1;1;
2;0.805333;0.548312;0.222752;0.0342695;298;1;0;
3;0.80003;0.539151;0.260879;0.0347839;298;1;2;
4;0.790965;0.569495;0.22147;0.0316386;298;0;3;
5;0.784175;0.566349;0.24687;0.058087;298;1;3;
6;0.780109;0.576603;0.237425;0.0508767;298;1;3;
7;0.802185;0.545486;0.240655;0.0320874;298;1;0;
8;0.806424;0.531507;0.256589;0.0366556;298;1;2;
9;0.818031;0.51753;0.250418;0.0166945;298;1;1;
10;0.803735;0.550707;0.22326;0.029768;298;1;0;
11;0.786991;0.557452;0.26233;0.0327913;298;1;2;
12;0.823072;0.51442;0.240063;0.0171473;298;1;1;
13;0.802513;0.559893;0.205294;0.0186631;298;-1;-1;
14;0.811209;0.559454;0.167836;0.0279727;298;-1;-1;
15;0.773811;0.597328;0.203635;0.0543025;298;1;4;
16;0.794289;0.573653;0.191218;0.0588363;298;1;4;
17;0.803274;0.551267;0.220507;0.0472514;298;0;4;
18;0.806828;0.537885;0.240633;0.0424646;298;1;2;
19;0.779649;0.580915;0.229308;0.0458617;298;1;3;
20;0.817338;0.51462;0.25731;0.0302718;298;1;1;
21;0.785919;0.570176;0.231153;0.0616407;298;1;3;
22;0.775771;0.607125;0.168646;0.0337292;298;0;4;
23;0.805978;0.521515;0.268659;0.0790174;298;-1;-1;
24;0.776114;0.549747;0.307212;0.0323381;298;-1;-1;
25;0.826475;0.495885;0.264472;0.033059;298;-1;-1;
26;0.797782;0.542492;0.25529;0.0638226;298;-1;-1;
27;0.80642;0.542782;0.232621;0.0310161;298;1;0;
28;0.816094;0.5336;0.219718;0.0313882;298;1;5;
29;0.795241;0.54144;0.27072;0.03384;298;1;2;
30;0.808466;0.522134;0.269489;0.0336861;298;0;2;
31;0.82225;0.517713;0.228403;0.0609074;298;0;1;
32;0.765783;0.603791;0.220899;0.0147266;298;0;4;
33;0.778674;0.594624;0.198208;0.0283154;298;1;4;
34;0.818031;0.51753;0.250418;0.0166945;298;1;1;
