id;1 wspol.;2 wspol.;3 wspol.;4 wspol.;5 wspol.;6 wspol.;7 wspol.;8 wspol.;9 wspol.;l. obliczen;typ punktu;CId;
0;0.0206246;0.184956;0.0608836;0.0149158;0.973323;0.000813589;0.118648;0;0;426;-1;-1;
1;0.0203505;0.186259;0.0482744;0.018237;0.975277;0.00643659;0.104997;0;0;426;1;0;
2;0.0202815;0.180987;0.0474874;0.0206002;0.976368;0.00521693;0.104071;0;0;426;0;0;
3;0.0204045;0.177605;0.049611;0.0173437;0.97622;0.00766348;0.110515;0;0;426;1;1;
4;0.0202789;0.177341;0.048378;0.0165715;0.976647;0.00735024;0.107848;0;0;426;1;1;
5;0.0203091;0.171346;0.0483627;0.0217029;0.97757;0.008574;0.108113;0;0.00348319;426;1;0;
6;0.0202727;0.177686;0.0480955;0.0152302;0.976472;0.00774872;0.10915;0;0;426;1;1;
7;0.0202401;0.175385;0.0481475;0.0140041;0.976822;0.00760224;0.109899;0;0;426;0;1;
8;0.0205241;0.18968;0.0483658;0.0185087;0.9738;0.0075656;0.112133;0;0;426;-1;-1;
9;0.0203071;0.17396;0.0481735;0.0181989;0.976718;0.00762747;0.112405;0;0.00147197;426;1;1;
10;0.0202497;0.169937;0.0462251;0.0208414;0.977941;0.0089511;0.108081;0;0.00320636;426;1;0;
11;0.020307;0.171273;0.0489734;0.0169935;0.976925;0.00802842;0.114539;0;0;426;1;1;
12;0.0202259;0.171852;0.045765;0.0186796;0.977744;0.00920638;0.107408;0;0.00320222;426;0;0;
13;0.0202561;0.171662;0.0475207;0.0169526;0.977244;0.00720819;0.111861;0;0.00226925;426;1;1;
14;0.0202442;0.168209;0.0478883;0.0174745;0.977641;0.00773682;0.113384;0;0;426;0;3;
15;0.0202523;0.170948;0.0472409;0.0164142;0.977379;0.00774003;0.111964;0;0;426;1;1;
16;0.0202847;0.169458;0.0490467;0.0155025;0.977058;0.00815217;0.116269;0;0;426;0;1;
