nazwa_pliku_wejsciowego;WineQT.csv
liczba_wym_punktow;11
l_punktow;1143
k;30
czas_wczytania_pliku_wej [us];37939
czas_normalizacji [us];11.4
calkowity_czas_sortowania [us];198860
czas_obliczania_kNN [us];1869947
czas_obliczania_RkNN [us];1869947
czas_grupowania [us];4795
czas_zapisywania_plikow_out_kNN [us];39434
calkowity_czas_dzialania [us];96624
calkowity_czas_dzialania-czas_zapisywania_plikow [us];57190
l_odkrytych_grup;2
l_odkrytych_p_szumu;74
l_odkrytych_p_rdzeniowych;647
l_odkrytych_p_brzegowych;422
srednia_l_obl_odl;2284
|TP|;208833
|TN|;54229
l_par_punktow;652653
RAND;0.403066
