nazwa_pliku_wejsciowego;own_dataset.csv
liczba_wym_punktow;2
l_punktow;15
k;2
czas_wczytania_pliku_wej [us];2245
czas_normalizacji [us];0.8
calkowity_czas_sortowania [us];2
czas_obliczania_kNN [us];78
czas_obliczania_RkNN [us];78
czas_grupowania [us];9
czas_zapisywania_plikow_out_kNN [us];3869
calkowity_czas_dzialania [us];6126
calkowity_czas_dzialania-czas_zapisywania_plikow [us];2257
l_odkrytych_grup;4
l_odkrytych_p_szumu;4
l_odkrytych_p_rdzeniowych;8
l_odkrytych_p_brzegowych;3
srednia_l_obl_odl;5.26667
|TP|;13
|TN|;70
l_par_punktow;105
RAND;0.790476
