nazwa_pliku_wejsciowego;wyklad.csv
liczba_wym_punktow;2
l_punktow;12
k;3
czas_wczytania_pliku_wej [us];264.7
czas_normalizacji [us];0.96
calkowity_czas_sortowania [us];1.3
czas_obliczania_kNN [us];91.9
czas_obliczania_RkNN [us];91.9
czas_grupowania [us];7.7
czas_zapisywania_plikow_out_kNN [us];2170.9
calkowity_czas_dzialania [us];2445.6
calkowity_czas_dzialania-czas_zapisywania_plikow [us];274.7
l_odkrytych_grup;3
l_odkrytych_p_szumu;2
l_odkrytych_p_rdzeniowych;8
l_odkrytych_p_brzegowych;2
srednia_l_obl_odl;7
|TP|;22
|TN|;44
l_par_punktow;66
RAND;1
