nazwa_pliku_wejsciowego;own_dataset.csv
liczba_wym_punktow;2
l_punktow;15
k;3
czas_wczytania_pliku_wej [us];561.8
czas_normalizacji [us];2.17
calkowity_czas_sortowania [us];2.9
czas_obliczania_kNN [us];274.4
czas_obliczania_RkNN [us];274.4
czas_grupowania [us];21.4
czas_zapisywania_plikow_out_kNN [us];4600.8
calkowity_czas_dzialania [us];5189.7
calkowity_czas_dzialania-czas_zapisywania_plikow [us];588.9
l_odkrytych_grup;4
l_odkrytych_p_szumu;1
l_odkrytych_p_rdzeniowych;10
l_odkrytych_p_brzegowych;4
srednia_l_obl_odl;8.33333
|TP|;27
|TN|;78
l_par_punktow;105
RAND;1
